Date,Time,location_name,latitude,longitude,pm25,datetime,AQI
2025-01-08,0:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,11.42,2025-01-08 00:00:00,47.6
2025-01-08,1:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,11.34,2025-01-08 01:00:00,47.2
2025-01-08,2:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,11.06,2025-01-08 02:00:00,46.1
2025-01-08,3:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,14.78,2025-01-08 03:00:00,56.6
2025-01-08,4:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,13.98,2025-01-08 04:00:00,55.0
2025-01-08,5:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,11.62,2025-01-08 05:00:00,48.4
2025-01-08,6:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,9.72,2025-01-08 06:00:00,40.5
2025-01-08,7:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,9.23,2025-01-08 07:00:00,38.5
2025-01-08,8:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,14.4,2025-01-08 08:00:00,55.8
2025-01-08,9:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,58.55,2025-01-08 09:00:00,152.6
2025-01-08,10:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,16.46,2025-01-08 10:00:00,60.2
2025-01-08,11:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,10.05,2025-01-08 11:00:00,41.9
2025-01-08,12:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,10.9,2025-01-08 12:00:00,45.4
2025-01-08,13:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,11.35,2025-01-08 13:00:00,47.3
2025-01-08,14:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,11.39,2025-01-08 14:00:00,47.5
2025-01-08,15:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,12.5,2025-01-08 15:00:00,51.8
2025-01-08,16:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,13.07,2025-01-08 16:00:00,53.0
2025-01-08,17:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,14.85,2025-01-08 17:00:00,56.8
2025-01-08,18:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,23.4,2025-01-08 18:00:00,74.8
2025-01-08,19:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,35.66,2025-01-08 19:00:00,101.4
2025-01-08,20:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,24.58,2025-01-08 20:00:00,77.2
2025-01-08,21:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,26.28,2025-01-08 21:00:00,80.8
2025-01-08,22:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,21.91,2025-01-08 22:00:00,71.6
2025-01-08,23:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,44.21,2025-01-08 23:00:00,122.4
2025-01-09,0:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,22.89,2025-01-09 00:00:00,73.7
2025-01-09,1:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,32.65,2025-01-09 01:00:00,94.2
2025-01-09,2:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,31.45,2025-01-09 02:00:00,91.7
2025-01-09,3:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,35.78,2025-01-09 03:00:00,101.7
2025-01-09,4:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,25.09,2025-01-09 04:00:00,78.3
2025-01-09,5:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,17.28,2025-01-09 05:00:00,61.9
2025-01-09,6:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,15.34,2025-01-09 06:00:00,57.8
2025-01-09,7:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,13.37,2025-01-09 07:00:00,53.7
2025-01-09,8:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,21.35,2025-01-09 08:00:00,70.5
2025-01-09,9:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,22.41,2025-01-09 09:00:00,72.7
2025-01-09,10:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,20.56,2025-01-09 10:00:00,68.8
2025-01-09,11:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,11.84,2025-01-09 11:00:00,49.3
2025-01-09,12:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,11.16,2025-01-09 12:00:00,46.5
