datetime,wind_dir,wind_speed,wind_dir_deg
2025-02-23 06:00:00,N,7.2,0.0
2025-02-23 09:00:00,NNW,10.8,337.5
2025-02-23 12:00:00,N,7.2,0.0
2025-02-23 15:00:00,CAL,0.0,
2025-02-23 18:00:00,CAL,0.0,
2025-02-23 21:00:00,CAL,0.0,
2025-02-24 00:00:00,NE,3.6,45.0
2025-02-24 00:00:00,NE,3.6,45.0
2025-02-24 03:00:00,NE,3.6,45.0
2025-02-24 06:00:00,NE,10.8,45.0
2025-02-24 09:00:00,E,7.2,90.0
2025-02-24 12:00:00,N,3.6,0.0
2025-02-24 15:00:00,NNE,3.6,22.5
2025-02-24 18:00:00,CAL,0.0,
2025-02-24 21:00:00,CAL,0.0,
2025-02-25 00:00:00,NNW,7.2,337.5
2025-02-25 00:00:00,NNW,7.2,337.5
2025-02-25 03:00:00,S,3.6,180.0
2025-02-25 06:00:00,N,7.2,0.0
2025-02-25 09:00:00,E,7.2,90.0
2025-02-25 12:00:00,SSW,7.2,202.5
2025-02-25 15:00:00,CAL,0.0,
2025-02-25 18:00:00,CAL,0.0,
2025-02-25 21:00:00,CAL,0.0,
2025-02-26 00:00:00,E,3.6,90.0
2025-02-26 00:00:00,E,3.6,90.0
2025-02-26 03:00:00,N,7.2,0.0
2025-02-26 06:00:00,E,7.2,90.0
2025-02-26 09:00:00,S,7.2,180.0
2025-02-26 12:00:00,S,7.2,180.0
2025-02-26 15:00:00,ESE,3.6,112.5
2025-02-26 18:00:00,ENE,3.6,67.5
2025-02-26 21:00:00,CAL,0.0,
2025-02-27 00:00:00,S,3.6,180.0
2025-02-27 00:00:00,S,3.6,180.0
2025-02-27 03:00:00,ENE,7.2,67.5
2025-02-27 06:00:00,W,7.2,270.0
2025-02-27 09:00:00,ENE,7.2,67.5
2025-02-27 12:00:00,ESE,3.6,112.5
2025-02-27 15:00:00,SE,3.6,135.0
2025-02-27 18:00:00,CAL,0.0,
2025-02-27 21:00:00,NE,3.6,45.0
2025-02-28 00:00:00,S,3.6,180.0
2025-02-28 00:00:00,S,3.6,180.0
2025-02-28 03:00:00,SSE,7.2,157.5
2025-02-28 06:00:00,E,7.2,90.0
2025-02-28 09:00:00,E,7.2,90.0
2025-02-28 12:00:00,NNE,7.2,22.5
2025-02-28 15:00:00,NE,3.6,45.0
2025-02-28 18:00:00,S,3.6,180.0
2025-02-28 21:00:00,CAL,0.0,
2025-03-01 00:00:00,W,3.6,270.0
2025-03-01 00:00:00,W,3.6,270.0
2025-03-01 03:00:00,N,3.6,0.0
2025-03-01 06:00:00,NE,3.6,45.0
2025-03-01 09:00:00,ESE,7.2,112.5
2025-03-01 12:00:00,E,3.6,90.0
2025-03-01 15:00:00,SSE,3.6,157.5
2025-03-01 18:00:00,ENE,3.6,67.5
2025-03-01 21:00:00,ENE,3.6,67.5
2025-03-02 00:00:00,E,3.6,90.0
2025-03-02 00:00:00,E,3.6,90.0
2025-03-02 03:00:00,E,7.2,90.0
2025-03-02 06:00:00,S,7.2,180.0
2025-03-02 09:00:00,ENE,7.2,67.5
2025-03-02 12:00:00,NE,7.2,45.0
2025-03-02 15:00:00,ENE,7.2,67.5
2025-03-02 18:00:00,CAL,0.0,
2025-03-02 21:00:00,CAL,0.0,
2025-03-03 00:00:00,ENE,3.6,67.5
2025-03-03 00:00:00,ENE,3.6,67.5
2025-03-03 03:00:00,SSE,10.8,157.5
2025-03-03 06:00:00,ENE,10.8,67.5
2025-03-03 09:00:00,ENE,7.2,67.5
2025-03-03 12:00:00,S,3.6,180.0
2025-03-03 15:00:00,CAL,0.0,
2025-03-03 18:00:00,CAL,0.0,
2025-03-03 21:00:00,CAL,0.0,
2025-03-04 00:00:00,CAL,0.0,
2025-03-04 00:00:00,CAL,0.0,
2025-03-04 03:00:00,E,10.8,90.0
2025-03-04 06:00:00,NW,7.2,315.0
2025-03-04 09:00:00,N,7.2,0.0
2025-03-04 12:00:00,SE,7.2,135.0
2025-03-04 15:00:00,ESE,7.2,112.5
2025-03-04 18:00:00,CAL,0.0,
2025-03-04 21:00:00,CAL,0.0,
2025-03-05 00:00:00,NE,3.6,45.0
2025-03-05 00:00:00,NE,3.6,45.0
2025-03-05 03:00:00,SW,3.6,225.0
2025-03-05 06:00:00,S,7.2,180.0
2025-03-05 09:00:00,SE,7.2,135.0
2025-03-05 12:00:00,S,3.6,180.0
2025-03-05 15:00:00,SW,3.6,225.0
2025-03-05 18:00:00,ESE,3.6,112.5
2025-03-05 21:00:00,ENE,3.6,67.5
2025-03-06 00:00:00,NE,3.6,45.0
2025-03-06 00:00:00,NE,3.6,45.0
2025-03-06 03:00:00,SW,7.2,225.0
2025-03-06 06:00:00,N,7.2,0.0
